Nombre de Proyecto/Programa,Agencia financiera,Contador de proyectos,1999,1999_2,2000,2000_2,2001,2001_2,2002,2002_2,2003,2003_2,2004,2004_2,2005,2005_2,2006,2006_2,2007,2007_2,2008,2008_2,2009,2009_2,2010,2010_2,2011,2011_2,2012,2012_2,2013,2013_2,2014,2014_2,Total,Total_2
,,,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales
  Asistencia Programa Mundial de Alimentos [Actividad 1],Programa Mundial de Alimentos,0,,,,,,,,,,,,,,,,,,,17476545.87,2459133.31,,6252693.84,,850242.22,,7464186.68,,450289.82,,,,,17476545.87,17476545.869
  Apoyo Inmediato para la Restauración de los Sistemas de Sustentos Agrícolas de Familias Rurales Vulnerables Afectadas por la Sequías en el Región Seca de Honduras.,Unión Europea,0,,,,,,,,,,,,,,,,,,,,,,,7505760.0,2911834.0,,4593926.0,,,,,,,7505760.0,7505760.0
  Prevención de la Violencia de Género.,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,133903.0,133903.0,,,,-7387.0,,,,,,,,,,,133903.0,126516.0
  Ayuda Humanitaria por Siniestro en la Penitencieria de Comayagua,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,67215.0,67215.0,,,,,67215.0,67215.0
"  Apoyo al Programa: Protección de los niños frente a Violencia, Abuso y Explotación",Fondo de las Naciones Unidas para la Infancia,0,,,,,,,,,,,,,,,,,,,,,,,,,49218.26,49218.26,,,,,,,49218.26,49218.26
  Prevención de la Violencia de Género [2010],Organización de Estados Iberoamericanos,0,,,,,,,,,,,,,,,,,,,,,,,65685.759,65685.759,,,,,,,,,65685.759,65685.759
  Techos Dignos [2010],Gobierno de Taiwan,0,,,,,,,,,,,,,,,,,,,,,,,300000.0,300000.0,,,,,,,,,300000.0,300000.0
  Fortalecimiento de la Calidad de Cafés de Origen Diferenciado en Honduras,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,405097.0,394828.0,,10269.0,,,,,,,405097.0,405097.0
  Apoyo al Plan de Movilidad Urbana Sostenible para Tegucigalpa,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,,2760.0,,388876.0,,95638.0,,,,487274.0
"  Diseños y Estudios Ambientales del Corredor Turístico ""El Progreso-Tela""",Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,560000.0,,,,,,,400000.0,,159987.0,,13.0,,,,,560000.0,560000.0
  Armonización de Inversiones del PRAF y de la Red solidaria,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,,,152960.0,,,55310.0,,97650.0,,,,,,,152960.0,152960.0
  Fortalecimiento de la Cooperación Hispano Hondureña en Torno a las Prioridades Nacionales Hondureñas de Desarrollo,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,105451.0,105451.0,,-11238.0,,,,,,,,,,,,,105451.0,94213.0
  Fortalecimiento del Regimen Municipal y Desarrollo Local en Honduras,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,771333.0,771333.0,,,3190.0,,,,,,,,,,774523.0,771333.0
  Cursos de Desarrollo Legal para Magistrados de la Corte Suprema [2011],Agencia de Cooperación Internacional de Corea,0,,,,,,,,,,,,,,,,,,,,,,,,,87000.0,87000.0,,,,,,,87000.0,87000.0
  Curso de Ciencia Forense y Prevención del Crimen para mimbros de la Policia Nacional [2012],Agencia de Cooperación Internacional de Corea,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16000.0,16000.0,,,,,16000.0,16000.0
  Fortalecimiento de la Carrera Judicial,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,263922.0,263922.0,,,,,,,,,,,,,,,263922.0,263922.0
  Mejora de la Seguridad Ciudadana,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,291212.0,291212.0,,,,,,,,,,,,,,,291212.0,291212.0
  Fortalecimiento de la Secretaría de Seguridad y de la Policía Nacional de Honduras,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,1790446.0,1790446.0,28949.0,-1787138.0,,,,,,,,,1819395.0,3308.0
  Fortalecimiento de las capacidades del Ministerio Público y Medicina Forense,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,532049.0,532049.0,,-525167.0,,,,,,,,,532049.0,6882.0
  Medicina Forense,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,367283.0,367200.0,,-17501.0,,,,,,,,,,,367283.0,349699.0
  Mejora de la Seguridad Ciudadana en Honduras [Fase II],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,521348.0,517055.0,,-208380.0,,,,,,,,,,,521348.0,308675.0
  Plan de Cooperación de Seguridad para Centro América (Fondo de Desarrollo Económico y Social),Agencia de los Estados Unidos para el Desarrollo Internacional,0,,,,,,,,,,,,,,,,,,,,,2000000.0,,,1569520.0,,430480.0,,,,,,,2000000.0,2000000.0
  Curso de Ciencia Forense y Prevención del Crimen para mimbros de la Policia Nacional [2011],Agencia de Cooperación Internacional de Corea,0,,,,,,,,,,,,,,,,,,,,,,,,,16000.0,16000.0,,,,,,,16000.0,16000.0
  Curso de Prevención y Justicia Criminal para miembros del Sistema de la Integración Centroamericana (SICA) [2011],Agencia de Cooperación Internacional de Corea,0,,,,,,,,,,,,,,,,,,,,,,,,,17000.0,17000.0,,,,,,,17000.0,17000.0
  Proyecto del Plan Maestro de Tecnologías de Información y Comunicación (TIC),Gobierno de La República de Corea del Sur,0,,,,,,,,,,,,,,,,,,,,,,,,,320000.0,32000.0,,288000.0,,,,,320000.0,320000.0
  Estudio de Factibilidad y Diseño para la Construcción de la Represa Guacerique II,Agencia de Cooperación Internacional de Corea,0,,,,,,,,,,,,,,,,,,,,,,,,,980000.0,690000.0,,290000.0,,,,,980000.0,980000.0
  Apoyo a Eco-Empresas Manejo Sostenible de los Recursos Naturales y Reducción de la Pobreza en Honduras,Agencia Danesa de Cooperación al Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,264675.07,169005.03,,95670.04,,,,,264675.07,264675.07
  Producción de Biodiesel bajo un enfoque de Negocios Inclusivos a partir del cultivo sustentable Jatropha Curcas,Organización Holandesa de Cooperación al Desarrollo,0,,,,,,,,,,,,,,,,,,,,,155382.5,,,,,155382.5,,,,,,,155382.5,155382.5
  Preparación del Programa del Sector Energía II [2016/BL-HO],Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,149000.0,,,,,81000.0,,66570.0,,1430.0,,,,,,,149000.0,149000.0
  Apoyo a la preparación del proyecto Puerto Cortés (2470/BL-HO),Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,450000.0,241400.0,,,,42250.0,,,,,,,,,450000.0,283650.0
  Plan de Expansión Portuaria en Honduras,Gobierno de La República de Corea del Sur,0,,,,,,,,,,,,,,,,,,,,,,,,,99000.0,21000.0,,78000.0,,,,,99000.0,99000.0
